"Subject","Start Date","Start Time","End Date","End Time","All day event","Description","Show time as","Location"
"Erev Tish'a B'Av","8/2/2025",,,,"true","The Ninth of Av; fast commemorating the destruction of the two Temples","3","Jewish Holidays"
"Tish'a B'Av","8/3/2025",,,,"true","The Ninth of Av; fast commemorating the destruction of the two Temples","3","Jewish Holidays"
"Shabbat Nachamu","8/9/2025",,,,"true","Shabbat after Tish'a B'Av (Shabbat of Consolation)","3","Jewish Holidays"
"Tu B'Av","8/9/2025",,,,"true","Jewish holiday of love; similar to Valentine's Day","3","Jewish Holidays"
"Rosh Chodesh Elul","8/24/2025",,,,"true","Beginning of new Hebrew month of Elul","3","Jewish Holidays"
"Rosh Chodesh Elul","8/25/2025",,,,"true","Beginning of new Hebrew month of Elul","3","Jewish Holidays"
"Leil Selichot","9/13/2025",,,,"true","Prayers for forgiveness in preparation for the High Holidays","3","Jewish Holidays"
"Erev Rosh Hashana","9/22/2025",,,,"true","The Jewish New Year","3","Jewish Holidays"
"Rosh Hashana 5786","9/23/2025",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Rosh Hashana II","9/24/2025",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Tzom Gedaliah","9/25/2025",,,,"true","Fast of the Seventh Month; commemorates the assassination of the Jewish governor of Judah","3","Jewish Holidays"
"Shabbat Shuva","9/27/2025",,,,"true","Shabbat that falls between Rosh Hashanah and Yom Kippur (Shabbat of Returning)","3","Jewish Holidays"
"Erev Yom Kippur","10/1/2025",,,,"true","Day of Atonement","3","Jewish Holidays"
"Yom Kippur","10/2/2025",,,,"true","Day of Atonement","4","Jewish Holidays"
"Erev Sukkot","10/6/2025",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot I","10/7/2025",,,,"true","Feast of Tabernacles","4","Jewish Holidays"
"Sukkot II","10/8/2025",,,,"true","Feast of Tabernacles","4","Jewish Holidays"
"Sukkot III (CH''M)","10/9/2025",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot IV (CH''M)","10/10/2025",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot V (CH''M)","10/11/2025",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot VI (CH''M)","10/12/2025",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot VII (Hoshana Raba)","10/13/2025",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Shmini Atzeret","10/14/2025",,,,"true","Eighth Day of Assembly","4","Jewish Holidays"
"Simchat Torah","10/15/2025",,,,"true","Day of Celebrating the Torah","4","Jewish Holidays"
"Rosh Chodesh Cheshvan","10/22/2025",,,,"true","Beginning of new Hebrew month of Cheshvan","3","Jewish Holidays"
"Rosh Chodesh Cheshvan","10/23/2025",,,,"true","Beginning of new Hebrew month of Cheshvan","3","Jewish Holidays"
"Yom HaAliyah","10/29/2025",,,,"true","Recognizes Aliyah; immigration to the Jewish State of Israel","3","Jewish Holidays"
"Sigd","11/20/2025",,,,"true","Ethiopian Jewish holiday occurring 50 days after Yom Kippur","3","Jewish Holidays"
"Rosh Chodesh Kislev","11/21/2025",,,,"true","Beginning of new Hebrew month of Kislev","3","Jewish Holidays"
"Chanukah: 1 Candle","12/14/2025",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 2 Candles","12/15/2025",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 3 Candles","12/16/2025",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 4 Candles","12/17/2025",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 5 Candles","12/18/2025",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 6 Candles","12/19/2025",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Rosh Chodesh Tevet","12/20/2025",,,,"true","Beginning of new Hebrew month of Tevet","3","Jewish Holidays"
"Chanukah: 7 Candles","12/20/2025",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Rosh Chodesh Tevet","12/21/2025",,,,"true","Beginning of new Hebrew month of Tevet","3","Jewish Holidays"
"Chanukah: 8 Candles","12/21/2025",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 8th Day","12/22/2025",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Asara B'Tevet","12/30/2025",,,,"true","Fast commemorating the siege of Jerusalem","3","Jewish Holidays"
"Rosh Chodesh Sh'vat","1/19/2026",,,,"true","Beginning of new Hebrew month of Sh'vat","3","Jewish Holidays"
"Tu BiShvat","2/2/2026",,,,"true","New Year for Trees","3","Jewish Holidays"
"Shabbat Shekalim","2/14/2026",,,,"true","Shabbat before Rosh Chodesh Adar","3","Jewish Holidays"
"Rosh Chodesh Adar","2/17/2026",,,,"true","Beginning of new Hebrew month of Adar","3","Jewish Holidays"
"Rosh Chodesh Adar","2/18/2026",,,,"true","Beginning of new Hebrew month of Adar","3","Jewish Holidays"
"Shabbat Zachor","2/28/2026",,,,"true","Shabbat before Purim","3","Jewish Holidays"
"Ta'anit Esther","3/2/2026",,,,"true","Fast of Esther","3","Jewish Holidays"
"Erev Purim","3/2/2026",,,,"true","Purim is one of the most joyous and fun holidays on the Jewish calendar","3","Jewish Holidays"
"Purim","3/3/2026",,,,"true","Purim is one of the most joyous and fun holidays on the Jewish calendar","3","Jewish Holidays"
"Shushan Purim","3/4/2026",,,,"true","Purim celebrated in Jerusalem and walled cities","3","Jewish Holidays"
"Shabbat Parah","3/7/2026",,,,"true","Shabbat of the Red Heifer","3","Jewish Holidays"
"Shabbat HaChodesh","3/14/2026",,,,"true","Shabbat before Rosh Chodesh Nissan","3","Jewish Holidays"
"Rosh Chodesh Nisan","3/19/2026",,,,"true","Beginning of new Hebrew month of Nisan","3","Jewish Holidays"
"Shabbat HaGadol","3/28/2026",,,,"true","Shabbat before Pesach","3","Jewish Holidays"
"Ta'anit Bechorot","4/1/2026",,,,"true","Fast of the First Born","3","Jewish Holidays"
"Erev Pesach","4/1/2026",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach I","4/2/2026",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach II","4/3/2026",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach III (CH''M)","4/4/2026",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach IV (CH''M)","4/5/2026",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach V (CH''M)","4/6/2026",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VI (CH''M)","4/7/2026",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VII","4/8/2026",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach VIII","4/9/2026",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Yom HaShoah","4/14/2026",,,,"true","Holocaust Memorial Day","3","Jewish Holidays"
"Rosh Chodesh Iyyar","4/17/2026",,,,"true","Beginning of new Hebrew month of Iyyar","3","Jewish Holidays"
"Rosh Chodesh Iyyar","4/18/2026",,,,"true","Beginning of new Hebrew month of Iyyar","3","Jewish Holidays"
"Yom HaZikaron","4/21/2026",,,,"true","Israeli Memorial Day","3","Jewish Holidays"
"Yom HaAtzma'ut","4/22/2026",,,,"true","Israeli Independence Day","3","Jewish Holidays"
"Pesach Sheni","5/1/2026",,,,"true","Second Passover; one month after Passover","3","Jewish Holidays"
"Lag BaOmer","5/5/2026",,,,"true","33rd day of counting the Omer","3","Jewish Holidays"
"Yom Yerushalayim","5/15/2026",,,,"true","Jerusalem Day","3","Jewish Holidays"
"Rosh Chodesh Sivan","5/17/2026",,,,"true","Beginning of new Hebrew month of Sivan","3","Jewish Holidays"
"Erev Shavuot","5/21/2026",,,,"true","Festival of Weeks; commemorates the giving of the Torah at Mount Sinai","3","Jewish Holidays"
"Shavuot I","5/22/2026",,,,"true","Festival of Weeks; commemorates the giving of the Torah at Mount Sinai","4","Jewish Holidays"
"Shavuot II","5/23/2026",,,,"true","Festival of Weeks; commemorates the giving of the Torah at Mount Sinai","4","Jewish Holidays"
"Rosh Chodesh Tamuz","6/15/2026",,,,"true","Beginning of new Hebrew month of Tamuz","3","Jewish Holidays"
"Rosh Chodesh Tamuz","6/16/2026",,,,"true","Beginning of new Hebrew month of Tamuz","3","Jewish Holidays"
"Tzom Tammuz","7/2/2026",,,,"true","Fast commemorating breaching of the walls of Jerusalem before the destruction of the Second Temple","3","Jewish Holidays"
"Rosh Chodesh Av","7/15/2026",,,,"true","Beginning of new Hebrew month of Av","3","Jewish Holidays"
"Shabbat Chazon","7/18/2026",,,,"true","Shabbat before Tish'a B'Av (Shabbat of Prophecy/Shabbat of Vision)","3","Jewish Holidays"
"Erev Tish'a B'Av","7/22/2026",,,,"true","The Ninth of Av; fast commemorating the destruction of the two Temples","3","Jewish Holidays"
"Tish'a B'Av","7/23/2026",,,,"true","The Ninth of Av; fast commemorating the destruction of the two Temples","3","Jewish Holidays"
"Shabbat Nachamu","7/25/2026",,,,"true","Shabbat after Tish'a B'Av (Shabbat of Consolation)","3","Jewish Holidays"
"Tu B'Av","7/29/2026",,,,"true","Jewish holiday of love; similar to Valentine's Day","3","Jewish Holidays"
"Rosh Chodesh Elul","8/13/2026",,,,"true","Beginning of new Hebrew month of Elul","3","Jewish Holidays"
"Rosh Chodesh Elul","8/14/2026",,,,"true","Beginning of new Hebrew month of Elul","3","Jewish Holidays"
"Leil Selichot","9/5/2026",,,,"true","Prayers for forgiveness in preparation for the High Holidays","3","Jewish Holidays"
"Erev Rosh Hashana","9/11/2026",,,,"true","The Jewish New Year","3","Jewish Holidays"
"Rosh Hashana 5787","9/12/2026",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Rosh Hashana II","9/13/2026",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Tzom Gedaliah","9/14/2026",,,,"true","Fast of the Seventh Month; commemorates the assassination of the Jewish governor of Judah","3","Jewish Holidays"
"Shabbat Shuva","9/19/2026",,,,"true","Shabbat that falls between Rosh Hashanah and Yom Kippur (Shabbat of Returning)","3","Jewish Holidays"
"Erev Yom Kippur","9/20/2026",,,,"true","Day of Atonement","3","Jewish Holidays"
"Yom Kippur","9/21/2026",,,,"true","Day of Atonement","4","Jewish Holidays"
"Erev Sukkot","9/25/2026",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot I","9/26/2026",,,,"true","Feast of Tabernacles","4","Jewish Holidays"
"Sukkot II","9/27/2026",,,,"true","Feast of Tabernacles","4","Jewish Holidays"
"Sukkot III (CH''M)","9/28/2026",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot IV (CH''M)","9/29/2026",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot V (CH''M)","9/30/2026",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot VI (CH''M)","10/1/2026",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot VII (Hoshana Raba)","10/2/2026",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Shmini Atzeret","10/3/2026",,,,"true","Eighth Day of Assembly","4","Jewish Holidays"
"Simchat Torah","10/4/2026",,,,"true","Day of Celebrating the Torah","4","Jewish Holidays"
"Rosh Chodesh Cheshvan","10/11/2026",,,,"true","Beginning of new Hebrew month of Cheshvan","3","Jewish Holidays"
"Rosh Chodesh Cheshvan","10/12/2026",,,,"true","Beginning of new Hebrew month of Cheshvan","3","Jewish Holidays"
"Yom HaAliyah","10/18/2026",,,,"true","Recognizes Aliyah; immigration to the Jewish State of Israel","3","Jewish Holidays"
"Sigd","11/9/2026",,,,"true","Ethiopian Jewish holiday occurring 50 days after Yom Kippur","3","Jewish Holidays"
"Rosh Chodesh Kislev","11/10/2026",,,,"true","Beginning of new Hebrew month of Kislev","3","Jewish Holidays"
"Rosh Chodesh Kislev","11/11/2026",,,,"true","Beginning of new Hebrew month of Kislev","3","Jewish Holidays"
"Chanukah: 1 Candle","12/4/2026",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 2 Candles","12/5/2026",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 3 Candles","12/6/2026",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 4 Candles","12/7/2026",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 5 Candles","12/8/2026",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 6 Candles","12/9/2026",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Rosh Chodesh Tevet","12/10/2026",,,,"true","Beginning of new Hebrew month of Tevet","3","Jewish Holidays"
"Chanukah: 7 Candles","12/10/2026",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Rosh Chodesh Tevet","12/11/2026",,,,"true","Beginning of new Hebrew month of Tevet","3","Jewish Holidays"
"Chanukah: 8 Candles","12/11/2026",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 8th Day","12/12/2026",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Asara B'Tevet","12/20/2026",,,,"true","Fast commemorating the siege of Jerusalem","3","Jewish Holidays"
"Rosh Chodesh Sh'vat","1/9/2027",,,,"true","Beginning of new Hebrew month of Sh'vat","3","Jewish Holidays"
"Tu BiShvat","1/23/2027",,,,"true","New Year for Trees","3","Jewish Holidays"
"Rosh Chodesh Adar I","2/7/2027",,,,"true","Beginning of new Hebrew month of Adar","3","Jewish Holidays"
"Rosh Chodesh Adar I","2/8/2027",,,,"true","Beginning of new Hebrew month of Adar","3","Jewish Holidays"
"Purim Katan","2/21/2027",,,,"true","Minor Purim celebration during Adar I on leap years","3","Jewish Holidays"
"Shabbat Shekalim","3/6/2027",,,,"true","Shabbat before Rosh Chodesh Adar","3","Jewish Holidays"
"Rosh Chodesh Adar II","3/9/2027",,,,"true","Beginning of new Hebrew month of Adar II (on leap years)","3","Jewish Holidays"
"Rosh Chodesh Adar II","3/10/2027",,,,"true","Beginning of new Hebrew month of Adar II (on leap years)","3","Jewish Holidays"
"Shabbat Zachor","3/20/2027",,,,"true","Shabbat before Purim","3","Jewish Holidays"
"Ta'anit Esther","3/22/2027",,,,"true","Fast of Esther","3","Jewish Holidays"
"Erev Purim","3/22/2027",,,,"true","Purim is one of the most joyous and fun holidays on the Jewish calendar","3","Jewish Holidays"
"Purim","3/23/2027",,,,"true","Purim is one of the most joyous and fun holidays on the Jewish calendar","3","Jewish Holidays"
"Shushan Purim","3/24/2027",,,,"true","Purim celebrated in Jerusalem and walled cities","3","Jewish Holidays"
"Shabbat Parah","3/27/2027",,,,"true","Shabbat of the Red Heifer","3","Jewish Holidays"
"Shabbat HaChodesh","4/3/2027",,,,"true","Shabbat before Rosh Chodesh Nissan","3","Jewish Holidays"
"Rosh Chodesh Nisan","4/8/2027",,,,"true","Beginning of new Hebrew month of Nisan","3","Jewish Holidays"
"Shabbat HaGadol","4/17/2027",,,,"true","Shabbat before Pesach","3","Jewish Holidays"
"Ta'anit Bechorot","4/21/2027",,,,"true","Fast of the First Born","3","Jewish Holidays"
"Erev Pesach","4/21/2027",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach I","4/22/2027",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach II","4/23/2027",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach III (CH''M)","4/24/2027",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach IV (CH''M)","4/25/2027",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach V (CH''M)","4/26/2027",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VI (CH''M)","4/27/2027",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VII","4/28/2027",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach VIII","4/29/2027",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Yom HaShoah","5/4/2027",,,,"true","Holocaust Memorial Day","3","Jewish Holidays"
"Rosh Chodesh Iyyar","5/7/2027",,,,"true","Beginning of new Hebrew month of Iyyar","3","Jewish Holidays"
"Rosh Chodesh Iyyar","5/8/2027",,,,"true","Beginning of new Hebrew month of Iyyar","3","Jewish Holidays"
"Yom HaZikaron","5/11/2027",,,,"true","Israeli Memorial Day","3","Jewish Holidays"
"Yom HaAtzma'ut","5/12/2027",,,,"true","Israeli Independence Day","3","Jewish Holidays"
"Pesach Sheni","5/21/2027",,,,"true","Second Passover; one month after Passover","3","Jewish Holidays"
"Lag BaOmer","5/25/2027",,,,"true","33rd day of counting the Omer","3","Jewish Holidays"
"Yom Yerushalayim","6/4/2027",,,,"true","Jerusalem Day","3","Jewish Holidays"
"Rosh Chodesh Sivan","6/6/2027",,,,"true","Beginning of new Hebrew month of Sivan","3","Jewish Holidays"
"Erev Shavuot","6/10/2027",,,,"true","Festival of Weeks; commemorates the giving of the Torah at Mount Sinai","3","Jewish Holidays"
"Shavuot I","6/11/2027",,,,"true","Festival of Weeks; commemorates the giving of the Torah at Mount Sinai","4","Jewish Holidays"
"Shavuot II","6/12/2027",,,,"true","Festival of Weeks; commemorates the giving of the Torah at Mount Sinai","4","Jewish Holidays"
"Rosh Chodesh Tamuz","7/5/2027",,,,"true","Beginning of new Hebrew month of Tamuz","3","Jewish Holidays"
"Rosh Chodesh Tamuz","7/6/2027",,,,"true","Beginning of new Hebrew month of Tamuz","3","Jewish Holidays"
"Tzom Tammuz","7/22/2027",,,,"true","Fast commemorating breaching of the walls of Jerusalem before the destruction of the Second Temple","3","Jewish Holidays"
"Rosh Chodesh Av","8/4/2027",,,,"true","Beginning of new Hebrew month of Av","3","Jewish Holidays"
"Shabbat Chazon","8/7/2027",,,,"true","Shabbat before Tish'a B'Av (Shabbat of Prophecy/Shabbat of Vision)","3","Jewish Holidays"
"Erev Tish'a B'Av","8/11/2027",,,,"true","The Ninth of Av; fast commemorating the destruction of the two Temples","3","Jewish Holidays"
"Tish'a B'Av","8/12/2027",,,,"true","The Ninth of Av; fast commemorating the destruction of the two Temples","3","Jewish Holidays"
"Shabbat Nachamu","8/14/2027",,,,"true","Shabbat after Tish'a B'Av (Shabbat of Consolation)","3","Jewish Holidays"
"Tu B'Av","8/18/2027",,,,"true","Jewish holiday of love; similar to Valentine's Day","3","Jewish Holidays"
"Rosh Chodesh Elul","9/2/2027",,,,"true","Beginning of new Hebrew month of Elul","3","Jewish Holidays"
"Rosh Chodesh Elul","9/3/2027",,,,"true","Beginning of new Hebrew month of Elul","3","Jewish Holidays"
"Leil Selichot","9/25/2027",,,,"true","Prayers for forgiveness in preparation for the High Holidays","3","Jewish Holidays"
"Erev Rosh Hashana","10/1/2027",,,,"true","The Jewish New Year","3","Jewish Holidays"
"Rosh Hashana 5788","10/2/2027",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Rosh Hashana II","10/3/2027",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Tzom Gedaliah","10/4/2027",,,,"true","Fast of the Seventh Month; commemorates the assassination of the Jewish governor of Judah","3","Jewish Holidays"
"Shabbat Shuva","10/9/2027",,,,"true","Shabbat that falls between Rosh Hashanah and Yom Kippur (Shabbat of Returning)","3","Jewish Holidays"
"Erev Yom Kippur","10/10/2027",,,,"true","Day of Atonement","3","Jewish Holidays"
"Yom Kippur","10/11/2027",,,,"true","Day of Atonement","4","Jewish Holidays"
"Erev Sukkot","10/15/2027",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot I","10/16/2027",,,,"true","Feast of Tabernacles","4","Jewish Holidays"
"Sukkot II","10/17/2027",,,,"true","Feast of Tabernacles","4","Jewish Holidays"
"Sukkot III (CH''M)","10/18/2027",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot IV (CH''M)","10/19/2027",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot V (CH''M)","10/20/2027",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot VI (CH''M)","10/21/2027",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot VII (Hoshana Raba)","10/22/2027",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Shmini Atzeret","10/23/2027",,,,"true","Eighth Day of Assembly","4","Jewish Holidays"
"Simchat Torah","10/24/2027",,,,"true","Day of Celebrating the Torah","4","Jewish Holidays"
"Rosh Chodesh Cheshvan","10/31/2027",,,,"true","Beginning of new Hebrew month of Cheshvan","3","Jewish Holidays"
"Rosh Chodesh Cheshvan","11/1/2027",,,,"true","Beginning of new Hebrew month of Cheshvan","3","Jewish Holidays"
"Yom HaAliyah","11/7/2027",,,,"true","Recognizes Aliyah; immigration to the Jewish State of Israel","3","Jewish Holidays"
"Sigd","11/29/2027",,,,"true","Ethiopian Jewish holiday occurring 50 days after Yom Kippur","3","Jewish Holidays"
"Rosh Chodesh Kislev","11/30/2027",,,,"true","Beginning of new Hebrew month of Kislev","3","Jewish Holidays"
"Rosh Chodesh Kislev","12/1/2027",,,,"true","Beginning of new Hebrew month of Kislev","3","Jewish Holidays"
"Chanukah: 1 Candle","12/24/2027",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 2 Candles","12/25/2027",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 3 Candles","12/26/2027",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 4 Candles","12/27/2027",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 5 Candles","12/28/2027",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 6 Candles","12/29/2027",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Rosh Chodesh Tevet","12/30/2027",,,,"true","Beginning of new Hebrew month of Tevet","3","Jewish Holidays"
"Chanukah: 7 Candles","12/30/2027",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Rosh Chodesh Tevet","12/31/2027",,,,"true","Beginning of new Hebrew month of Tevet","3","Jewish Holidays"
"Chanukah: 8 Candles","12/31/2027",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
